id,document_id,document_slug,source_url,local_path,storage_path,kind,mime_type,downloaded,sha256,byte_size,width,height
ec637bec-c8c2-5011-ba95-712c57aea2a4,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 286,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-286.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-286.jpg,pdf_page_thumbnail,image/jpeg,True,fd2ce089ae6dad168bcbaa5a7a0d2364d08ac709b593324e62e055c03ce42040,26975,255,420
01a86358-1373-566c-9a59-9b66586589ea,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 287,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-287.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-287.jpg,pdf_page_thumbnail,image/jpeg,True,6f9d3b063eec5f501c7b936bf184e9f3d00b2667fe8a024f85c5afad11612ee1,27673,255,420
0e46b41f-5cf0-51e8-8f7c-43e7fe792747,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 288,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-288.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-288.jpg,pdf_page_thumbnail,image/jpeg,True,29be85248bfb3af5dc016e1eb320fd533cd71ff4d5af8334776759639d4de272,27618,255,420
5524af92-b6d7-531c-85cb-c872f1fbb98f,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 289,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-289.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-289.jpg,pdf_page_thumbnail,image/jpeg,True,f8c9a11ee85458531f3a88019178d58234cd194d4ae3773a6b2c5de108517015,25811,255,420
43419fce-b8d6-561d-afa4-b4de228f9937,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 290,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-290.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-290.jpg,pdf_page_thumbnail,image/jpeg,True,1517a7316738f36de346037cc527772f67f8c69e64b45827a2d51783327f0419,4242,255,420
2806cb7d-d6fc-5849-af87-f504cce7b42f,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 291,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-291.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-291.jpg,pdf_page_thumbnail,image/jpeg,True,08890867d0df101300597f94d308be4ca5f134ea03b46783abbe27ad949e6dfd,26803,255,420
85c78e16-f016-5a38-b48e-f640330c6655,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 292,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-292.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-292.jpg,pdf_page_thumbnail,image/jpeg,True,88c39af81229685dece781624e4385c276b6752bce24d150445cf683121ea9c3,28268,255,420
81f6bf07-e05d-5973-8317-ae4f3a59328e,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 293,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-293.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-293.jpg,pdf_page_thumbnail,image/jpeg,True,f31f6fbf19b66178b397091079e7a19b8f9cbfcbad43933b0f971872b5b7d7df,29502,255,420
5229519a-a5d8-5e89-a8a2-7bab2a303c1f,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 294,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-294.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-294.jpg,pdf_page_thumbnail,image/jpeg,True,a405817bb786e25683ef128fa0698e8f0aea83ab4f0b4f46b1a44549e05fff33,28926,255,420
4b763760-2774-5509-a4fc-ca72f962f38e,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 295,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-295.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-295.jpg,pdf_page_thumbnail,image/jpeg,True,e0c751edbc5535e94386219fad09e73027f9fa48565c5090a74b5f73d811bca4,27709,255,420
c0b78360-32db-5a1a-9bda-54d745f70710,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 296,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-296.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-296.jpg,pdf_page_thumbnail,image/jpeg,True,06eafd2c625fbefa228019c5d4c1cccf0cd0cd55aac45093497b242cad654292,26024,255,420
